Epoch Train_Loss Validation_Loss
1 26.744 21.907
2 17.273 13.899
3 12.588 12.392
4 11.444 10.695
5 10.442 10.151
6 9.878 10.714
7 9.353 10.094
8 8.601 9.050
9 7.996 8.661
10 7.492 9.149
11 7.170 8.480
12 6.607 8.575
13 6.233 8.855
14 5.744 9.838
15 5.517 8.758
16 5.108 9.419
17 4.869 9.121
18 4.753 8.190
19 4.649 8.419
20 4.444 7.822
21 4.164 10.795
22 4.071 8.398
23 3.924 9.521
24 3.729 11.806
25 4.224 10.445
26 4.789 7.816
27 3.830 7.471
28 3.911 8.326
29 4.472 7.483
30 3.680 8.152
31 3.158 8.209
32 2.831 7.589
33 2.736 7.488
34 2.697 7.403
35 2.581 7.530
36 2.493 7.752
37 2.558 7.698
38 2.435 7.587
39 2.306 7.197
40 2.154 7.202
41 1.981 7.150
42 1.940 7.226
43 1.801 7.352
44 1.706 7.367
45 1.860 7.264
46 1.896 7.326
47 1.827 7.286
48 1.746 7.479
49 1.672 7.569
50 1.663 7.268
51 1.619 7.473
52 1.657 7.384
53 1.560 7.417
54 1.563 7.332
55 1.524 7.359
56 1.400 7.346
57 1.413 7.151
58 1.395 7.123
59 1.469 7.283
60 1.498 7.260
61 1.577 7.660
62 1.865 7.232
63 2.210 7.249
64 2.047 7.070
65 1.830 7.067
66 1.609 7.117
67 1.461 7.048
68 1.275 7.042
69 1.251 7.127
70 1.279 7.057
71 1.262 7.227
72 1.538 7.152
73 1.499 7.250
74 1.382 7.373
75 1.252 7.167
76 1.124 7.103
77 1.146 7.046
78 1.249 7.030
79 1.339 7.165
80 1.410 7.095
81 1.386 7.038
82 1.332 7.140
83 1.346 7.054
84 1.316 7.012
85 1.317 6.990
86 1.351 7.095
87 1.429 7.222
88 1.346 7.131
89 1.381 7.534
90 1.475 7.265
91 1.613 7.101
92 1.723 7.124
93 1.771 7.411
94 1.665 7.292
95 1.675 7.190
96 1.603 7.129
97 1.603 7.260
98 1.688 7.323
99 1.590 7.261
100 1.505 7.346
Training complete! Best validation at epoch 85. Validation loss: 6.990, Test loss: 7.125
