Epoch Train_Loss Validation_Loss
1 27.087 22.495
2 16.928 13.662
3 13.048 16.185
4 12.056 11.363
5 11.454 14.092
6 10.490 11.929
7 9.783 10.455
8 10.300 10.632
9 10.524 14.810
10 10.110 12.624
11 9.806 9.865
12 9.442 10.034
13 8.926 9.378
14 8.524 9.221
15 8.242 9.643
16 8.042 8.649
17 7.750 9.063
18 7.413 8.743
19 7.216 8.692
20 6.887 9.880
21 6.724 8.855
22 6.424 8.864
23 7.024 10.205
24 6.840 8.528
25 6.317 9.315
26 6.124 7.851
27 5.677 8.983
28 5.560 7.792
29 5.409 7.874
30 5.164 7.765
31 4.932 7.735
32 4.652 7.933
33 4.547 7.832
34 4.564 7.993
35 4.381 7.855
36 4.118 7.984
37 4.032 7.728
38 3.845 7.610
39 3.721 8.669
40 3.673 12.585
41 3.875 9.115
42 3.754 8.432
43 3.623 8.141
44 3.532 8.078
45 3.507 7.763
46 3.504 7.657
47 3.391 7.743
48 3.259 7.740
49 3.191 7.838
50 3.158 8.228
51 2.995 7.827
52 2.905 7.597
53 2.797 7.889
54 2.701 8.770
55 2.714 7.967
56 2.663 8.317
57 2.604 7.784
58 2.593 7.748
59 2.576 7.790
60 2.549 7.675
61 2.523 7.598
62 2.584 7.868
63 2.565 7.747
64 2.491 7.610
65 2.372 7.531
66 2.312 7.866
67 2.293 7.619
68 2.283 7.875
69 2.266 7.692
70 4.519 9.416
71 3.959 8.010
72 3.176 7.895
73 2.660 7.868
74 2.825 7.897
75 2.737 7.983
76 2.926 7.767
77 2.555 7.658
78 2.381 7.728
79 2.231 7.673
80 2.234 8.060
81 2.193 7.676
82 2.069 7.633
83 2.011 7.441
84 1.953 7.545
85 1.927 7.565
86 1.966 7.565
87 2.024 7.509
88 2.057 7.469
89 1.935 7.482
90 2.205 7.715
91 1.949 7.794
92 2.008 8.141
93 1.867 7.863
94 1.760 7.653
95 1.752 7.559
96 1.714 7.610
97 1.730 7.590
98 1.627 7.959
99 1.940 7.489
100 3.639 8.956
Training complete! Best validation at epoch 83. Validation loss: 7.441, Test loss: 7.565
