Epoch Train_Loss Validation_Loss
1 27.187 22.165
2 17.818 14.063
3 13.425 14.003
4 12.385 12.285
5 12.470 12.402
6 12.799 12.354
7 12.108 11.800
8 11.364 11.001
9 10.718 10.774
10 10.175 9.851
11 9.759 10.292
12 9.291 9.449
13 8.886 9.880
14 8.622 9.776
15 8.393 9.027
16 8.156 9.510
17 7.839 8.828
18 7.366 9.059
19 7.104 8.127
20 7.004 8.073
21 6.625 7.930
22 6.409 7.968
23 6.259 7.872
24 6.077 7.824
25 5.886 7.754
26 5.610 7.793
27 5.476 9.212
28 5.118 8.579
29 5.355 8.044
30 4.961 7.783
31 4.845 7.518
32 4.788 7.693
33 4.568 8.630
34 4.405 8.250
35 4.323 8.882
36 4.173 7.765
37 4.087 8.380
38 4.000 8.607
39 3.840 9.140
40 3.864 9.456
41 3.805 8.085
42 3.694 8.053
43 3.629 7.966
44 3.501 7.314
45 3.389 7.663
46 3.380 7.368
47 3.346 7.653
48 3.303 8.291
49 3.241 8.635
50 3.163 7.612
51 3.110 7.704
52 3.109 7.830
53 3.209 8.089
54 3.089 7.472
55 3.067 7.649
56 2.896 7.823
57 2.841 7.789
58 2.810 7.488
59 2.828 7.507
60 2.759 7.693
61 2.721 7.526
62 2.696 7.913
63 2.725 7.616
64 2.731 7.442
65 2.691 7.599
66 2.672 7.432
67 2.555 7.365
68 2.570 7.341
69 2.589 7.630
70 2.538 7.631
71 2.573 7.521
72 2.541 7.818
73 2.583 7.514
74 2.557 7.952
75 2.613 7.571
76 2.536 7.531
77 2.478 7.405
78 2.470 7.578
79 2.482 7.633
80 2.424 7.448
81 2.419 7.384
82 2.405 7.503
83 2.380 7.470
84 2.335 7.480
85 2.386 7.387
86 2.299 7.490
87 2.330 7.660
88 2.321 7.714
89 2.301 7.348
90 2.299 7.381
91 2.300 7.318
92 2.310 7.537
93 2.304 7.478
94 2.305 7.362
95 2.269 7.693
96 2.277 7.358
97 2.239 7.213
98 2.272 7.570
99 2.218 7.313
100 2.240 7.525
Training complete! Best validation at epoch 97. Validation loss: 7.213, Test loss: 7.377
