Epoch Train_Loss Validation_Loss
1 29.869 30.783
2 28.599 27.838
3 27.650 23.286
4 26.433 23.044
5 25.101 21.151
6 23.463 20.984
7 21.793 17.451
8 19.788 14.885
9 18.161 12.290
10 16.332 11.878
11 15.076 11.551
12 13.757 11.066
13 12.932 11.432
14 11.998 10.014
15 11.189 10.370
16 10.835 11.566
17 10.552 14.073
18 10.143 13.173
19 10.089 9.666
20 9.545 10.341
21 9.181 9.695
22 8.721 9.126
23 8.629 9.134
24 8.256 8.819
25 8.041 9.724
26 8.074 9.361
27 7.926 9.223
28 7.592 9.316
29 7.655 8.219
30 7.352 8.494
31 7.136 7.772
32 7.264 8.087
33 7.114 7.866
34 7.064 8.017
35 7.080 7.652
36 7.040 9.773
37 7.092 9.841
38 7.056 7.756
39 6.778 7.980
40 6.709 8.276
41 6.565 8.217
42 6.433 7.385
43 6.587 7.437
44 6.535 7.560
45 6.766 7.562
46 6.516 8.188
47 6.725 7.307
48 6.371 7.594
49 6.327 7.780
50 6.536 7.518
51 6.364 7.464
52 6.448 7.540
53 6.230 8.563
54 6.235 7.404
55 6.143 7.364
56 6.325 7.687
57 6.139 9.766
58 6.140 8.567
59 6.187 7.988
60 6.047 7.315
61 6.014 7.548
62 5.923 8.222
63 6.061 7.494
64 5.996 10.419
65 6.089 8.934
66 6.097 7.399
67 6.025 7.987
Training complete! Best validation at epoch 47. Validation loss: 7.307, Test loss: 7.522
