Epoch Train_Loss Validation_Loss
1 28.025 22.139
2 19.975 14.460
3 16.299 12.973
4 14.809 11.219
5 14.051 11.163
6 13.638 10.385
7 13.290 10.044
8 12.916 10.463
9 12.565 9.590
10 12.220 9.749
11 12.045 9.479
12 11.833 9.603
13 11.467 8.603
14 11.217 8.449
15 10.962 8.422
16 10.837 8.219
17 10.602 8.026
18 10.346 8.650
19 10.207 8.244
20 10.028 8.251
21 9.887 8.187
22 9.863 7.522
23 9.426 7.583
24 9.429 7.627
25 9.279 7.509
26 9.016 7.369
27 9.116 7.404
28 9.047 7.494
29 8.822 7.841
30 8.772 7.529
31 8.726 7.639
32 8.340 7.362
33 8.490 7.397
34 8.394 8.365
35 8.401 8.203
36 8.236 7.206
37 8.007 7.506
38 7.943 7.236
39 7.831 7.104
40 7.716 7.374
41 7.577 7.177
42 7.526 7.561
43 7.563 7.457
44 7.398 7.424
45 7.305 7.241
46 7.290 7.039
47 7.146 7.121
48 7.009 7.303
49 7.068 6.945
50 6.924 7.072
51 6.845 7.175
52 6.928 7.124
53 6.733 6.880
54 6.812 7.391
55 6.621 7.244
56 6.824 7.165
57 6.549 7.098
58 6.504 7.156
59 6.481 6.984
60 6.384 7.025
61 6.382 7.211
62 6.198 6.972
63 6.151 6.912
64 6.125 7.133
65 6.047 6.881
66 5.991 6.915
67 6.145 7.632
68 6.072 6.863
69 5.976 7.040
70 5.882 7.003
71 5.840 6.849
72 5.822 6.971
73 5.709 6.869
74 5.706 6.878
75 5.714 6.812
76 5.605 6.844
77 5.669 6.943
78 5.537 7.044
79 5.444 6.912
80 5.511 6.880
81 5.382 6.920
82 5.524 7.116
83 5.480 6.840
84 5.462 6.918
85 5.460 6.858
86 5.356 6.831
87 5.275 6.810
88 5.248 6.978
89 5.204 7.155
90 5.176 7.041
91 5.163 6.957
92 5.183 6.862
93 5.178 6.707
94 5.168 6.811
95 5.029 6.878
96 5.027 6.736
97 4.959 6.918
98 4.892 6.766
99 5.010 6.984
100 4.863 6.913
Training complete! Best validation at epoch 93. Validation loss: 6.707, Test loss: 6.858
