Epoch Train_Loss Validation_Loss
1 24.010 17.056
2 13.053 17.100
3 9.299 9.777
4 7.864 7.973
5 6.638 8.784
6 5.850 13.315
7 6.281 14.582
8 6.516 7.746
9 5.206 7.733
10 4.275 8.413
11 3.992 9.266
12 3.772 8.056
13 3.509 7.828
14 3.364 7.960
15 3.046 7.553
16 2.816 7.854
17 2.614 7.959
18 2.376 7.483
19 2.171 7.558
20 2.145 7.899
21 2.123 7.636
22 2.024 7.471
23 1.814 7.542
24 1.820 7.255
25 1.750 7.624
26 1.699 7.433
27 1.703 7.951
28 1.830 7.659
29 1.741 7.254
30 1.671 7.855
31 1.959 7.474
32 2.116 7.592
33 1.968 7.848
34 1.729 7.312
35 1.620 7.528
36 1.662 7.294
37 1.602 7.241
38 1.596 7.235
39 1.536 7.211
40 1.456 7.343
41 1.413 7.276
42 1.409 7.212
43 1.459 7.196
44 1.435 7.363
45 1.573 7.550
46 1.617 7.309
47 1.554 7.114
48 1.681 7.494
49 1.685 7.151
50 1.634 7.246
51 1.575 7.455
52 1.598 7.956
53 1.701 7.651
54 1.635 7.259
55 1.683 7.214
56 1.635 6.990
57 1.502 7.379
58 1.395 7.291
59 1.233 7.080
60 1.206 7.066
61 1.185 7.181
62 1.152 7.386
63 1.519 7.213
64 1.566 7.401
65 1.571 7.222
66 1.470 7.711
67 1.431 7.666
68 1.434 7.271
69 1.485 7.020
70 1.521 7.080
71 1.509 6.953
72 1.432 7.010
73 1.499 7.200
74 1.528 7.930
75 1.567 7.334
76 1.583 7.184
77 1.537 7.046
78 1.474 7.317
79 1.407 7.543
80 1.502 7.098
81 1.530 7.089
82 1.472 7.254
83 1.449 7.137
84 1.418 7.382
85 1.504 7.817
86 1.471 7.320
87 1.426 7.060
88 1.297 7.094
89 1.139 7.003
90 1.101 6.880
91 0.965 6.896
92 1.010 7.030
93 1.075 7.290
94 1.166 6.971
95 1.055 7.326
96 1.107 7.006
97 1.106 6.811
98 1.074 7.000
99 1.126 6.924
100 1.217 7.105
Training complete! Best validation at epoch 97. Validation loss: 6.811, Test loss: 7.101
