Epoch Train_Loss Validation_Loss
1 27.025 22.487
2 17.601 13.558
3 13.832 14.258
4 12.303 13.370
5 12.079 13.293
6 12.608 15.314
7 11.394 13.380
8 10.913 11.381
9 10.727 12.488
10 10.102 10.521
11 9.556 14.115
12 9.100 10.629
13 8.719 10.857
14 8.457 9.362
15 8.168 10.829
16 7.826 20.615
17 7.701 8.512
18 7.519 9.103
19 7.450 9.348
20 7.257 8.996
21 7.284 9.020
22 7.268 8.432
23 6.926 8.538
24 6.699 8.717
25 6.629 7.895
26 6.625 11.815
27 6.517 7.738
28 6.255 7.932
29 6.324 20.912
30 6.583 10.016
31 6.097 9.817
32 5.739 8.687
33 6.023 7.579
34 5.916 8.045
35 5.857 7.847
36 5.790 15.610
37 6.026 8.149
38 5.713 8.001
39 5.493 7.848
40 5.593 8.155
41 5.621 7.566
42 5.658 8.358
43 5.560 9.372
44 5.351 9.470
45 5.396 7.759
46 5.467 7.570
47 5.470 11.156
48 5.458 9.656
49 5.176 9.232
50 5.367 10.581
51 5.372 7.464
52 5.387 8.270
53 5.364 8.948
54 5.170 8.551
55 5.306 7.508
56 5.404 9.092
57 5.145 8.781
58 5.270 7.656
59 4.967 7.987
60 4.942 9.317
61 5.098 7.788
62 5.119 8.325
63 5.175 8.667
64 5.247 11.791
65 4.880 7.637
66 4.908 8.355
67 5.115 10.069
68 4.968 7.392
69 4.838 8.848
70 4.987 8.629
71 5.181 8.293
72 5.323 10.611
73 4.925 7.475
74 4.852 7.736
75 4.724 8.483
76 4.974 7.983
77 5.044 7.816
78 5.186 7.650
79 4.665 7.862
80 4.412 8.028
81 4.797 7.517
82 4.755 8.853
83 4.788 8.084
84 4.917 7.776
85 4.681 8.448
86 4.686 8.090
87 4.907 11.030
88 4.846 8.004
89 4.828 9.351
90 5.016 7.902
91 4.973 9.639
92 5.142 8.308
93 4.988 8.128
94 4.785 8.032
95 4.702 7.824
96 4.604 7.842
97 4.448 7.948
98 4.524 8.203
99 4.912 9.697
100 5.081 8.486
Training complete! Best validation at epoch 68. Validation loss: 7.392, Test loss: 7.497
