Epoch Train_Loss Validation_Loss
1 30.082 28.409
2 29.256 27.933
3 28.534 29.366
4 27.747 28.573
5 26.881 26.251
6 25.932 26.184
7 24.864 23.912
8 23.700 24.817
9 22.609 24.527
10 21.395 22.095
11 20.084 23.117
12 18.776 16.591
13 17.659 17.110
14 16.336 15.308
15 15.073 19.813
16 14.118 12.140
17 13.105 12.521
18 11.999 11.342
19 11.412 10.766
20 10.485 9.999
21 10.394 11.329
22 9.863 9.188
23 9.544 9.561
24 9.102 8.779
25 8.159 8.602
26 7.847 8.189
27 7.392 7.683
28 7.462 7.425
29 7.218 7.287
30 6.900 8.241
31 6.721 6.989
32 6.656 7.443
33 6.544 7.998
34 6.479 7.659
35 6.472 7.323
36 6.418 7.127
37 6.262 7.199
38 6.170 7.256
39 6.148 7.098
40 6.127 7.006
41 5.831 7.114
42 5.808 7.126
43 5.950 7.711
44 6.072 7.062
45 5.921 7.181
46 5.854 7.100
47 5.707 7.218
48 5.840 6.990
49 5.748 7.368
50 5.664 7.495
51 5.672 7.253
Training complete! Best validation at epoch 31. Validation loss: 6.989, Test loss: 7.145
