Epoch Train_Loss Validation_Loss
1 17.290 25.314
2 14.346 18.381
3 14.226 13.451
4 13.588 13.559
5 13.359 14.346
6 14.219 13.568
7 13.516 20.010
8 13.332 14.562
9 12.827 20.919
10 12.777 15.646
11 12.671 31.020
12 12.452 13.463
13 12.761 13.158
14 13.344 16.241
15 12.896 31.020
16 13.197 30.898
17 13.126 26.211
18 13.084 14.898
19 13.280 18.470
20 13.004 23.368
21 12.595 13.474
22 12.869 31.155
23 12.629 15.399
24 12.348 11.911
25 12.146 12.726
26 12.491 31.020
27 12.288 12.070
28 11.934 17.143
29 12.013 31.020
30 13.030 16.889
31 12.566 14.900
32 13.073 16.694
33 12.525 14.589
34 12.432 16.619
35 12.187 13.851
36 12.045 17.404
37 11.836 13.185
38 12.460 31.020
39 13.065 16.617
40 12.456 17.509
41 12.050 11.724
42 11.973 11.152
43 11.707 11.825
44 11.487 13.388
45 11.333 24.791
46 12.372 31.020
47 12.416 19.281
48 12.125 13.798
49 12.599 47.980
50 13.246 14.104
51 13.100 13.736
52 12.784 13.968
53 12.583 18.844
54 12.647 28.576
55 12.873 31.020
56 12.915 12.305
57 12.196 12.749
58 12.439 17.157
59 12.185 15.576
60 11.612 13.429
61 12.144 15.943
62 11.544 16.320
Training complete! Best validation at epoch 42. Validation loss: 11.152, Test loss: 11.292
