Epoch Train_Loss Validation_Loss
1 30.735 30.078
2 30.629 29.753
3 30.517 30.297
4 30.394 30.238
5 30.296 30.214
6 30.163 30.074
7 30.086 29.991
8 30.000 29.928
9 29.929 29.870
10 29.885 29.841
11 29.800 29.739
12 29.747 29.727
13 29.684 29.694
14 29.648 29.611
15 29.617 29.556
16 29.558 29.525
17 29.513 29.470
18 29.450 29.468
19 29.427 29.441
20 29.384 29.347
21 29.336 29.340
22 29.294 29.244
23 29.239 29.186
24 29.200 29.042
25 29.173 29.127
26 29.121 29.089
27 29.097 29.041
28 29.087 29.165
29 29.015 28.921
30 29.024 29.232
31 28.934 28.728
32 28.889 29.037
33 28.838 29.053
34 28.790 28.732
35 28.774 29.089
36 28.739 28.388
37 28.657 28.802
38 28.605 28.530
39 28.566 29.283
40 28.521 28.585
41 28.459 28.410
42 28.420 27.263
43 28.345 28.704
44 28.347 28.165
45 28.237 28.494
46 28.292 28.217
47 28.192 28.363
48 28.175 28.393
49 28.096 28.085
50 28.026 27.673
51 27.993 28.935
52 27.960 28.124
53 27.916 28.415
54 27.888 28.070
55 27.836 28.778
56 27.796 27.898
57 27.736 27.821
58 27.740 27.356
59 27.711 27.536
60 27.633 27.786
61 27.615 27.442
62 27.546 27.526
63 27.521 27.762
64 27.528 28.055
65 27.406 27.694
66 27.395 27.362
67 27.354 27.510
68 27.299 27.351
69 27.238 27.431
70 27.193 27.144
71 27.205 27.960
72 27.136 27.524
73 27.082 27.359
74 27.068 27.373
75 26.996 27.044
76 26.942 27.409
77 26.928 27.265
78 26.916 27.394
79 26.874 26.900
80 26.831 27.601
81 26.756 27.091
82 26.718 26.749
83 26.681 27.241
84 26.621 26.753
85 26.548 26.810
86 26.502 26.661
87 26.503 26.720
88 26.419 26.573
89 26.403 27.113
90 26.361 26.220
91 26.361 27.215
92 26.343 25.436
93 26.216 26.981
94 26.219 26.476
95 26.171 27.364
96 26.147 25.971
97 26.070 26.468
98 26.052 25.724
99 26.033 26.927
100 25.962 27.063
101 25.894 26.202
102 25.867 25.908
103 25.830 26.183
104 25.737 26.653
105 25.716 26.114
106 25.651 25.406
107 25.672 26.540
108 25.583 25.645
109 25.544 26.262
110 25.458 25.549
111 25.505 26.448
112 25.442 25.899
113 25.340 25.278
114 25.374 26.414
115 25.338 25.348
116 25.262 26.070
117 25.190 25.816
118 25.149 24.866
119 25.132 26.029
120 25.053 25.406
121 25.025 25.638
122 24.937 25.124
123 24.899 25.886
124 24.919 25.268
125 24.877 25.071
126 24.750 25.780
127 24.749 24.510
128 24.688 24.848
129 24.675 25.116
130 24.624 24.886
131 24.588 24.999
132 24.466 25.269
133 24.540 24.555
134 24.488 24.721
135 24.362 24.870
136 24.371 24.965
137 24.322 24.545
138 24.211 24.351
139 24.199 25.292
140 24.128 24.436
141 24.102 23.890
142 24.051 24.218
143 23.979 25.274
144 23.956 24.093
145 23.897 24.434
146 23.917 24.412
147 23.822 23.909
148 23.706 24.324
149 23.647 24.371
150 23.641 24.733
151 23.544 23.555
152 23.581 24.090
153 23.501 23.961
154 23.397 24.696
155 23.314 24.554
156 23.219 23.834
157 23.233 23.558
158 23.294 24.248
159 23.157 24.157
160 23.107 23.480
161 23.098 23.975
162 23.039 23.510
163 22.972 23.765
164 22.881 23.815
