Epoch Train_Loss Validation_Loss
1 26.601 23.093
2 17.269 14.587
3 12.604 12.358
4 11.064 13.366
5 10.973 10.806
6 10.139 9.653
7 9.448 9.603
8 8.946 9.406
9 8.475 8.887
10 8.024 8.648
11 7.671 8.644
12 7.350 8.141
13 6.965 8.876
14 6.624 9.365
15 6.487 11.139
16 6.004 10.545
17 5.692 8.402
18 5.625 8.406
19 5.345 9.298
20 5.205 9.663
21 4.908 8.222
22 4.522 8.441
23 4.254 8.301
24 3.938 8.936
25 3.834 8.709
26 3.864 10.399
27 3.683 7.926
28 3.624 8.202
29 3.612 8.541
30 3.763 8.546
31 3.395 8.146
32 3.175 8.173
33 2.912 7.960
34 2.885 7.977
35 2.836 7.707
36 2.594 7.620
37 2.378 7.938
38 2.291 7.752
39 2.273 7.664
40 2.245 8.109
41 2.295 7.791
42 2.605 7.800
43 2.601 7.439
44 2.572 8.428
45 3.534 7.963
46 2.779 7.567
47 2.394 7.480
48 2.081 7.689
49 1.732 7.334
50 1.685 7.433
51 1.754 7.419
52 1.808 8.214
53 1.751 7.630
54 1.656 7.434
55 1.703 7.391
56 1.934 7.670
57 1.856 7.321
58 1.703 7.384
59 1.598 7.628
60 1.500 8.251
61 1.524 8.845
62 1.493 7.955
63 1.622 7.304
64 1.596 7.508
65 1.696 9.001
66 2.031 9.066
67 2.136 7.632
68 1.919 8.222
69 1.717 7.609
70 1.501 7.533
71 1.343 7.511
72 1.357 7.723
73 1.318 7.571
74 1.327 7.515
75 1.415 7.277
76 1.617 7.357
77 1.646 7.503
78 1.621 7.916
79 1.548 8.158
80 1.577 8.075
81 1.322 7.283
82 1.251 7.270
83 1.374 7.327
84 1.342 7.481
85 1.244 7.801
86 1.196 7.294
87 1.236 7.187
88 1.116 7.379
89 1.154 7.275
90 1.238 7.282
91 1.184 7.358
92 1.246 7.574
93 1.164 7.362
94 1.220 7.260
95 1.273 7.302
96 1.314 7.633
97 1.484 7.681
98 1.661 7.497
99 1.702 7.521
100 1.633 8.251
Training complete! Best validation at epoch 87. Validation loss: 7.187, Test loss: 6.934
